"","MSZoning","LotShape","LandContour","LotConfig","Neighborhood","Condition2","BldgType","HouseStyle","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","HeatingQC","Electrical","KitchenQual","Functional","GarageType","GarageFinish","PavedDrive","SaleType","SaleCondition","MasVnrType.1","BsmtFinType2.1","BsmtFinSF2","MSZoning.1","Foundation.1","BsmtExposure.1","BsmtFinType1.1","Condition1.1","Utilities.1","BsmtQual.1","LandContour.1","LandSlope.1","LotConfig.1","BsmtCond.1","Exterior1st.1","ExterQual.1"
"382","FV","Reg","Lvl","Inside","Somerst","Norm","1Fam","1Story","Gable","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","Gd","No","Unf","Unf","Ex","SBrkr","Gd","Typ","Attchd","RFn","Y","New","Partial","None","Unf",0,"FV","PConc","No","Unf","Norm","AllPub","Gd","Lvl","Gtl","Inside","Gd","VinylSd","Gd"
"383","RL","IR1","Lvl","Inside","CollgCr","Norm","1Fam","2Story","Gable","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","Av","Unf","Unf","Ex","SBrkr","Gd","Typ","Attchd","RFn","Y","WD","Normal","None","Unf",0,"RL","PConc","Av","Unf","Norm","AllPub","Gd","Lvl","Gtl","Inside","TA","VinylSd","Gd"
"384","RH","Reg","Lvl","Corner","SawyerW","Norm","1Fam","1.5Unf","Gable","Wd Sdng","Wd Sdng","None","TA","TA","BrkTil","Fa","Fa","No","Unf","Unf","TA","FuseA","TA","Typ","Detchd","Unf","N","WD","Normal","None","Unf",0,"RH","BrkTil","No","Unf","Norm","AllPub","Fa","Lvl","Gtl","Corner","Fa","Wd Sdng","TA"
"385","RL","IR2","Low","Corner","ClearCr","Norm","1Fam","2Story","Gable","HdBoard","HdBoard","None","Gd","TA","PConc","Gd","TA","Av","GLQ","Unf","Ex","SBrkr","Gd","Typ","Attchd","Fin","Y","WD","Normal","None","Unf",0,"RL","PConc","Av","GLQ","Feedr","AllPub","Gd","Low","Mod","Corner","TA","HdBoard","Gd"
"386","RL","Reg","Lvl","Inside","Blmngtn","Norm","TwnhsE","1Story","Gable","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","No","GLQ","Unf","Ex","SBrkr","Gd","Typ","Attchd","Fin","Y","WD","Normal","BrkFace","Unf",0,"RL","PConc","No","GLQ","Norm","AllPub","Gd","Lvl","Gtl","Inside","TA","VinylSd","Gd"
"387","RL","Reg","Lvl","FR2","Edwards","Norm","1Fam","1.5Fin","Gambrel","Wd Sdng","VinylSd","None","TA","Fa","PConc","TA","TA","No","Unf","Unf","TA","SBrkr","TA","Typ","2Types","Unf","N","WD","AdjLand","None","Unf",0,"RL","PConc","No","Unf","Feedr","AllPub","TA","Lvl","Gtl","FR2","TA","Wd Sdng","TA"
"388","RL","Reg","Lvl","Inside","Edwards","Norm","1Fam","SLvl","Hip","MetalSd","MetalSd","BrkFace","TA","TA","CBlock","TA","TA","Av","ALQ","Unf","Ex","SBrkr","TA","Typ","Detchd","Unf","Y","WD","Abnorml","BrkFace","Unf",0,"RL","CBlock","Av","ALQ","Norm","AllPub","TA","Lvl","Gtl","Inside","TA","MetalSd","TA"
"389","RL","IR1","Lvl","CulDSac","CollgCr","Norm","1Fam","1Story","Gable","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","No","Unf","Unf","Ex","SBrkr","Gd","Typ","Attchd","RFn","Y","WD","Normal","BrkFace","Unf",0,"RL","PConc","No","Unf","Norm","AllPub","Gd","Lvl","Gtl","CulDSac","TA","VinylSd","Gd"
"390","RL","Reg","Lvl","Inside","NridgHt","Norm","1Fam","2Story","Gable","VinylSd","VinylSd","Stone","Ex","TA","PConc","Ex","TA","Av","GLQ","Unf","Ex","SBrkr","Ex","Typ","BuiltIn","Fin","Y","New","Partial","Stone","Unf",0,"RL","PConc","Av","GLQ","Norm","AllPub","Ex","Lvl","Gtl","Inside","TA","VinylSd","Ex"
"391","RL","Reg","Lvl","Inside","Edwards","Norm","1Fam","1.5Fin","Gable","MetalSd","MetalSd","None","TA","TA","BrkTil","TA","Gd","No","Rec","BLQ","Ex","SBrkr","TA","Typ","Detchd","Unf","Y","WD","Normal","None","BLQ",391,"RL","BrkTil","No","Rec","Norm","AllPub","TA","Lvl","Gtl","Inside","Gd","MetalSd","TA"
"392","RL","IR1","Lvl","CulDSac","Mitchel","Norm","1Fam","2Story","Gable","VinylSd","VinylSd","None","TA","TA","PConc","Ex","TA","No","ALQ","Unf","Ex","SBrkr","Gd","Typ","BuiltIn","Fin","Y","WD","Normal","None","Unf",0,"RL","PConc","No","ALQ","Norm","AllPub","Ex","Lvl","Gtl","CulDSac","TA","VinylSd","TA"
"393","RL","IR1","Lvl","Inside","NAmes","Norm","1Fam","1Story","Gable","MetalSd","MetalSd","None","TA","TA","Slab","Fa","Fa","No","ALQ","BLQ","TA","SBrkr","TA","Typ","Attchd","RFn","Y","WD","Normal","None","BLQ",0,"RL","Slab","No","ALQ","Norm","AllPub","Fa","Lvl","Gtl","Inside","Fa","MetalSd","TA"
"394","RL","Reg","Lvl","Corner","BrkSide","Norm","1Fam","1Story","Gable","WdShing","Wd Shng","None","TA","TA","CBlock","TA","TA","No","Rec","Unf","TA","FuseA","TA","Typ","Basment","RFn","Y","WD","Abnorml","None","Unf",0,"RL","CBlock","No","Rec","Feedr","AllPub","TA","Lvl","Gtl","Corner","TA","WdShing","TA"
"395","RL","Reg","Lvl","Inside","OldTown","Norm","1Fam","1.5Fin","Gable","MetalSd","MetalSd","None","TA","TA","CBlock","TA","TA","No","Unf","Unf","Gd","FuseA","TA","Typ","Detchd","Unf","Y","WD","Normal","None","Unf",0,"RL","CBlock","No","Unf","Norm","AllPub","TA","Lvl","Gtl","Inside","TA","MetalSd","TA"
"396","RL","Reg","Lvl","Inside","Edwards","Norm","1Fam","1Story","Gable","Wd Sdng","Wd Sdng","None","TA","TA","CBlock","TA","TA","Av","BLQ","Unf","TA","SBrkr","TA","Typ","Attchd","Unf","Y","WD","Normal","None","Unf",0,"RL","CBlock","Av","BLQ","Norm","AllPub","TA","Lvl","Gtl","Inside","TA","Wd Sdng","TA"
"397","RL","Reg","Low","Inside","CollgCr","Norm","1Fam","1Story","Hip","MetalSd","MetalSd","None","TA","TA","CBlock","TA","TA","Av","Rec","Unf","TA","SBrkr","TA","Typ","Detchd","RFn","Y","WD","Normal","None","Unf",0,"RL","CBlock","Av","Rec","Norm","AllPub","TA","Low","Gtl","Inside","TA","MetalSd","TA"
"398","RL","Reg","Lvl","Inside","NAmes","Norm","1Fam","2Story","Gable","VinylSd","VinylSd","BrkFace","TA","TA","CBlock","TA","TA","No","ALQ","Unf","TA","SBrkr","TA","Typ","Attchd","RFn","Y","WD","Normal","BrkFace","Unf",0,"RL","CBlock","No","ALQ","PosN","AllPub","TA","Lvl","Gtl","Inside","TA","VinylSd","TA"
"399","RM","Reg","Lvl","Corner","IDOTRR","Norm","1Fam","1Story","Gable","MetalSd","MetalSd","None","TA","Fa","BrkTil","Fa","Po","No","Unf","Unf","Gd","Mix","TA","Maj2","Detchd","Unf","N","WD","Abnorml","None","Unf",0,"RM","BrkTil","No","Unf","Norm","AllPub","Fa","Lvl","Gtl","Corner","Po","MetalSd","TA"
"400","FV","Reg","Lvl","Inside","Somerst","Norm","1Fam","2Story","Gable","CemntBd","CmentBd","Stone","Gd","TA","PConc","Gd","TA","No","GLQ","Unf","Ex","SBrkr","Gd","Typ","Attchd","Fin","Y","WD","Normal","Stone","Unf",0,"FV","PConc","No","GLQ","Norm","AllPub","Gd","Lvl","Gtl","Inside","TA","CemntBd","Gd"
"401","RL","IR2","Lvl","Inside","Veenker","Norm","TwnhsE","1Story","Gable","BrkFace","BrkFace","None","Gd","TA","PConc","Gd","TA","No","GLQ","Unf","Ex","SBrkr","Ex","Typ","Attchd","Fin","Y","WD","Normal","None","Unf",0,"RL","PConc","No","GLQ","Norm","AllPub","Gd","Lvl","Gtl","Inside","TA","BrkFace","Gd"
"402","RL","IR1","Lvl","Inside","CollgCr","Norm","1Fam","1Story","Gable","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","Av","GLQ","Unf","Ex","SBrkr","Gd","Typ","Attchd","Fin","Y","New","Partial","None","Unf",0,"RL","PConc","Av","GLQ","Norm","AllPub","Gd","Lvl","Gtl","Inside","TA","VinylSd","Gd"
"403","RL","Reg","Lvl","Inside","Sawyer","Norm","1Fam","1Story","Gable","Wd Sdng","Wd Sdng","None","TA","TA","PConc","TA","TA","No","Unf","Unf","Ex","SBrkr","TA","Typ","Detchd","Unf","N","WD","Normal","None","Unf",0,"RL","PConc","No","Unf","Norm","AllPub","TA","Lvl","Gtl","Inside","TA","Wd Sdng","TA"
"404","RL","Reg","Lvl","Corner","NoRidge","Norm","1Fam","2Story","Hip","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","No","Unf","Unf","Gd","SBrkr","Gd","Typ","BuiltIn","Fin","Y","WD","Abnorml","BrkFace","Unf",0,"RL","PConc","No","Unf","Norm","AllPub","Gd","Lvl","Gtl","Corner","TA","VinylSd","Gd"
"405","RL","IR1","Lvl","Inside","Gilbert","Norm","1Fam","2Story","Gable","MetalSd","MetalSd","None","TA","TA","PConc","Gd","TA","No","Unf","Unf","Gd","SBrkr","TA","Typ","BuiltIn","Fin","Y","WD","Normal","None","Unf",0,"RL","PConc","No","Unf","Norm","AllPub","Gd","Lvl","Gtl","Inside","TA","MetalSd","TA"
"406","RL","IR1","Lvl","Corner","Sawyer","Norm","1Fam","1Story","Gable","Plywood","Plywood","None","TA","TA","CBlock","TA","TA","No","BLQ","Unf","Ex","SBrkr","TA","Min1","Attchd","Unf","Y","WD","Normal","None","Unf",0,"RL","CBlock","No","BLQ","Feedr","AllPub","TA","Lvl","Gtl","Corner","TA","Plywood","TA"
"407","RL","Reg","Lvl","Inside","SWISU","Norm","1Fam","1.5Fin","Gable","MetalSd","MetalSd","None","TA","TA","BrkTil","TA","TA","No","Unf","Unf","Ex","FuseA","TA","Maj2","Detchd","Unf","Y","WD","Normal","None","Unf",0,"RL","BrkTil","No","Unf","Norm","AllPub","TA","Lvl","Gtl","Inside","TA","MetalSd","TA"
"408","RL","Reg","Lvl","Inside","Crawfor","Norm","1Fam","2Story","Gable","Wd Sdng","Plywood","None","TA","TA","BrkTil","Gd","TA","No","Unf","Unf","Ex","SBrkr","TA","Typ","Attchd","Unf","Y","WD","Normal","None","Unf",0,"RL","BrkTil","No","Unf","Norm","AllPub","Gd","Lvl","Gtl","Inside","TA","Wd Sdng","TA"
"409","RL","Reg","Lvl","Corner","NridgHt","Norm","1Fam","2Story","Gable","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Ex","Gd","No","Unf","Unf","Ex","SBrkr","Gd","Typ","Attchd","RFn","Y","New","Partial","BrkFace","Unf",0,"RL","PConc","No","Unf","Norm","AllPub","Ex","Lvl","Gtl","Corner","Gd","VinylSd","Gd"
"410","FV","Reg","Lvl","Inside","Somerst","Norm","1Fam","2Story","Gable","VinylSd","VinylSd","Stone","Gd","TA","PConc","Ex","TA","No","GLQ","Unf","Ex","SBrkr","Ex","Typ","Attchd","Fin","Y","New","Partial","Stone","Unf",0,"FV","PConc","No","GLQ","Norm","AllPub","Ex","Lvl","Gtl","Inside","TA","VinylSd","Gd"
"411","RL","Reg","Lvl","Inside","Edwards","Norm","1Fam","1Story","Gable","BrkComm","Brk Cmn","None","TA","Fa","CBlock","TA","Fa","No","Unf","Unf","TA","FuseA","TA","Mod","Attchd","Unf","Y","COD","Abnorml","None","Unf",0,"RL","CBlock","No","Unf","Norm","AllPub","TA","Lvl","Gtl","Inside","Fa","BrkComm","TA"
"412","RL","Reg","Bnk","Inside","Gilbert","Norm","2fmCon","1Story","Hip","Wd Sdng","Wd Sdng","None","TA","TA","CBlock","TA","TA","Mn","Rec","Unf","TA","SBrkr","TA","Typ","Attchd","Fin","Y","WD","Normal","None","Unf",0,"RL","CBlock","Mn","Rec","Norm","AllPub","TA","Bnk","Gtl","Inside","TA","Wd Sdng","TA"
"413","FV","IR2","Lvl","Inside","Somerst","Norm","1Fam","1Story","Gable","MetalSd","MetalSd","Stone","Ex","TA","PConc","Ex","TA","Av","GLQ","Unf","Ex","SBrkr","Gd","Typ","Attchd","Fin","Y","New","Partial","Stone","Unf",0,"FV","PConc","Av","GLQ","Norm","AllPub","Ex","Lvl","Gtl","Inside","TA","MetalSd","Ex"
"414","RM","Reg","Lvl","Inside","OldTown","Norm","1Fam","1Story","Gable","WdShing","Wd Shng","None","TA","TA","CBlock","TA","TA","No","Unf","Unf","Gd","FuseA","TA","Typ","Detchd","Unf","Y","WD","Normal","None","Unf",0,"RM","CBlock","No","Unf","Artery","AllPub","TA","Lvl","Gtl","Inside","TA","WdShing","TA"
"415","RL","IR2","Lvl","CulDSac","SawyerW","Norm","1Fam","2Story","Gable","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","No","BLQ","GLQ","Ex","SBrkr","Gd","Typ","Attchd","Unf","Y","WD","Normal","None","GLQ",531,"RL","PConc","No","BLQ","Norm","AllPub","Gd","Lvl","Gtl","CulDSac","TA","VinylSd","Gd"
"416","RL","IR1","Lvl","Inside","Gilbert","Norm","1Fam","1Story","Gable","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","Av","GLQ","Unf","Ex","SBrkr","Gd","Typ","Attchd","Fin","Y","New","Partial","None","Unf",0,"RL","PConc","Av","GLQ","Norm","AllPub","Gd","Lvl","Gtl","Inside","TA","VinylSd","Gd"
"417","RL","Reg","Lvl","Inside","Sawyer","Norm","1Fam","2Story","Hip","HdBoard","HdBoard","BrkFace","TA","TA","CBlock","TA","TA","No","ALQ","Unf","TA","SBrkr","TA","Typ","Attchd","Fin","Y","WD","Normal","BrkFace","Unf",0,"RL","CBlock","No","ALQ","Norm","AllPub","TA","Lvl","Gtl","Inside","TA","HdBoard","TA"
"418","RL","IR1","Lvl","Inside","Crawfor","Norm","1Fam","2Story","Hip","Wd Sdng","Stucco","None","TA","TA","BrkTil","Gd","TA","No","BLQ","Unf","TA","FuseA","TA","Typ","Detchd","Unf","N","WD","Normal","None","Unf",0,"RL","BrkTil","No","BLQ","Feedr","AllPub","Gd","Lvl","Gtl","Inside","TA","Wd Sdng","TA"
"419","RL","Reg","Lvl","Inside","Edwards","Norm","1Fam","1.5Fin","Gable","MetalSd","MetalSd","None","TA","TA","BrkTil","TA","TA","No","ALQ","Unf","Fa","FuseF","TA","Typ","Detchd","Unf","P","WD","AdjLand","None","Unf",0,"RL","BrkTil","No","ALQ","Norm","AllPub","TA","Lvl","Gtl","Inside","TA","MetalSd","TA"
"420","RL","Reg","Lvl","Inside","NAmes","Norm","1Fam","1Story","Gable","VinylSd","VinylSd","None","TA","TA","CBlock","TA","TA","No","BLQ","Unf","Ex","SBrkr","TA","Typ","Attchd","Unf","Y","WD","Normal","None","Unf",0,"RL","CBlock","No","BLQ","Norm","AllPub","TA","Lvl","Gtl","Inside","TA","VinylSd","TA"
"421","RM","Reg","Lvl","Inside","Mitchel","Norm","Duplex","SFoyer","Gable","VinylSd","VinylSd","BrkFace","TA","Gd","PConc","Gd","Gd","Gd","GLQ","Unf","Ex","SBrkr","TA","Typ","Attchd","Fin","Y","WD","Alloca","BrkFace","Unf",0,"RM","PConc","Gd","GLQ","Norm","AllPub","Gd","Lvl","Gtl","Inside","Gd","VinylSd","TA"
"422","RL","IR1","Lvl","FR2","NWAmes","Norm","1Fam","1Story","Gable","CemntBd","CmentBd","Stone","Gd","TA","CBlock","Gd","TA","No","ALQ","Unf","Gd","SBrkr","Gd","Typ","Attchd","Fin","Y","WD","Normal","Stone","Unf",0,"RL","CBlock","No","ALQ","Norm","AllPub","Gd","Lvl","Gtl","FR2","TA","CemntBd","Gd"
"423","RL","Reg","HLS","Inside","Mitchel","Norm","1Fam","1Story","Hip","HdBoard","HdBoard","None","TA","TA","CBlock","TA","TA","No","Unf","Unf","Ex","FuseA","TA","Typ","Attchd","RFn","N","WD","Normal","None","Unf",0,"RL","CBlock","No","Unf","Artery","AllPub","TA","HLS","Mod","Inside","TA","HdBoard","TA"
"424","RL","Reg","Lvl","Inside","NoRidge","Norm","1Fam","2Story","Gable","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","No","GLQ","Unf","Gd","SBrkr","Gd","Typ","Attchd","Fin","Y","WD","Normal","BrkFace","Unf",0,"RL","PConc","No","GLQ","Norm","AllPub","Gd","Lvl","Gtl","Inside","TA","VinylSd","Gd"
"425","RL","Reg","Lvl","Inside","NAmes","Norm","1Fam","1Story","Gable","Wd Sdng","Wd Sdng","BrkFace","TA","TA","CBlock","Gd","TA","No","LwQ","Unf","Gd","FuseA","TA","Typ","Attchd","RFn","Y","WD","Normal","BrkFace","Unf",0,"RL","CBlock","No","LwQ","Norm","AllPub","Gd","Lvl","Gtl","Inside","TA","Wd Sdng","TA"
"426","RM","Reg","HLS","Inside","OldTown","Norm","1Fam","2Story","Gable","HdBoard","HdBoard","None","TA","Gd","CBlock","TA","TA","No","Unf","Unf","Gd","SBrkr","TA","Typ","Detchd","Unf","P","WD","Normal","None","Unf",0,"RM","CBlock","No","Unf","Norm","AllPub","TA","HLS","Gtl","Inside","TA","HdBoard","TA"
"427","RL","Reg","Low","Inside","SawyerW","Norm","1Fam","SLvl","Gable","Wd Sdng","Wd Sdng","BrkFace","Gd","TA","PConc","Gd","TA","Gd","GLQ","Unf","Gd","SBrkr","Gd","Typ","Attchd","Fin","Y","WD","Normal","BrkFace","Unf",0,"RL","PConc","Gd","GLQ","Norm","AllPub","Gd","Low","Mod","Inside","TA","Wd Sdng","Gd"
"428","RL","IR1","Lvl","Inside","NAmes","Norm","1Fam","1Story","Hip","MetalSd","MetalSd","None","TA","TA","CBlock","TA","TA","No","Rec","Unf","Ex","SBrkr","TA","Typ","Detchd","Unf","Y","WD","Normal","None","Unf",0,"RL","CBlock","No","Rec","Norm","AllPub","TA","Lvl","Gtl","Inside","TA","MetalSd","TA"
"429","RL","Reg","Lvl","Inside","CollgCr","Norm","1Fam","1Story","Gable","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","No","GLQ","Unf","Ex","SBrkr","Gd","Typ","Attchd","RFn","Y","New","Partial","BrkFace","Unf",0,"RL","PConc","No","GLQ","Norm","AllPub","Gd","Lvl","Gtl","Inside","TA","VinylSd","Gd"
"430","RL","IR1","Lvl","Corner","Timber","Norm","1Fam","1Story","Gable","HdBoard","HdBoard","None","TA","TA","CBlock","Gd","TA","Mn","GLQ","Unf","TA","SBrkr","Gd","Typ","Attchd","Unf","Y","WD","Normal","None","Unf",0,"RL","CBlock","Mn","GLQ","Norm","AllPub","Gd","Lvl","Gtl","Corner","TA","HdBoard","TA"
"431","RM","Reg","Lvl","Inside","BrDale","Norm","Twnhs","2Story","Gable","HdBoard","HdBoard","BrkFace","TA","TA","CBlock","TA","TA","No","ALQ","Unf","TA","SBrkr","TA","Typ","Detchd","Unf","Y","COD","Abnorml","BrkFace","Unf",0,"RM","CBlock","No","ALQ","Norm","AllPub","TA","Lvl","Gtl","Inside","TA","HdBoard","TA"
"432","RM","IR1","Bnk","Inside","OldTown","Norm","1Fam","1.5Fin","Gable","MetalSd","MetalSd","None","TA","TA","BrkTil","TA","TA","No","Unf","Unf","Gd","SBrkr","TA","Typ","2Types","Fin","N","ConLD","Abnorml","None","Unf",0,"RM","BrkTil","No","Unf","Feedr","AllPub","TA","Bnk","Gtl","Inside","TA","MetalSd","TA"
"433","RM","Reg","Lvl","Inside","BrDale","Norm","TwnhsE","2Story","Gable","HdBoard","HdBoard","BrkFace","TA","TA","CBlock","TA","TA","No","ALQ","Unf","Ex","SBrkr","TA","Min1","Detchd","Unf","Y","WD","Normal","BrkFace","Unf",0,"RM","CBlock","No","ALQ","Norm","AllPub","TA","Lvl","Gtl","Inside","TA","HdBoard","TA"
"434","RL","IR1","Lvl","Corner","Gilbert","Norm","1Fam","2Story","Gable","VinylSd","VinylSd","None","TA","TA","PConc","Gd","TA","No","Unf","Unf","Ex","SBrkr","TA","Typ","Attchd","Fin","Y","WD","Normal","None","Unf",0,"RL","PConc","No","Unf","Norm","AllPub","Gd","Lvl","Gtl","Corner","TA","VinylSd","TA"
"435","RM","Reg","Lvl","Inside","MeadowV","Norm","Twnhs","SFoyer","Gable","CemntBd","CmentBd","None","TA","Gd","CBlock","Gd","TA","Av","ALQ","Unf","Gd","SBrkr","TA","Typ","2Types","Unf","Y","WD","Normal","None","Unf",0,"RM","CBlock","Av","ALQ","Norm","AllPub","Gd","Lvl","Gtl","Inside","TA","CemntBd","TA"
"436","RL","IR2","Lvl","CulDSac","CollgCr","Norm","1Fam","2Story","Gable","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","Av","GLQ","ALQ","Ex","SBrkr","Gd","Typ","Attchd","RFn","Y","ConLw","Normal","None","ALQ",344,"RL","PConc","Av","GLQ","PosN","AllPub","Gd","Lvl","Gtl","CulDSac","TA","VinylSd","Gd"
"437","RM","Reg","Lvl","Inside","OldTown","Norm","1Fam","1.5Fin","Gable","Stucco","Stucco","None","TA","TA","BrkTil","Fa","TA","No","Unf","Unf","TA","FuseA","TA","Typ","Detchd","Unf","Y","WD","Normal","None","Unf",0,"RM","BrkTil","No","Unf","Norm","AllPub","Fa","Lvl","Gtl","Inside","TA","Stucco","TA"
"438","RM","Reg","Lvl","Inside","BrkSide","Norm","1Fam","1.5Unf","Gable","Wd Sdng","Wd Sdng","None","Gd","TA","PConc","TA","TA","No","Unf","Unf","Gd","SBrkr","TA","Typ","Detchd","Unf","Y","WD","Normal","None","Unf",0,"RM","PConc","No","Unf","Norm","AllPub","TA","Lvl","Gtl","Inside","TA","Wd Sdng","Gd"
"439","RL","Reg","Lvl","Inside","Crawfor","Norm","1Fam","1Story","Gable","WdShing","Stucco","None","TA","TA","PConc","TA","TA","No","LwQ","Unf","TA","SBrkr","Gd","Typ","Detchd","Unf","P","WD","Normal","None","Unf",0,"RL","PConc","No","LwQ","Norm","AllPub","TA","Lvl","Gtl","Inside","TA","WdShing","TA"
"440","RL","Reg","Lvl","Corner","Edwards","Norm","1Fam","1.5Fin","Gable","Wd Sdng","Wd Sdng","None","TA","TA","BrkTil","TA","Fa","Mn","Unf","Unf","Gd","SBrkr","Gd","Typ","Detchd","Unf","Y","ConLI","Normal","None","Unf",0,"RL","BrkTil","Mn","Unf","Norm","AllPub","TA","Lvl","Gtl","Corner","Fa","Wd Sdng","TA"
"441","RL","Reg","Lvl","Inside","NridgHt","Norm","1Fam","1Story","Hip","VinylSd","VinylSd","Stone","Ex","TA","PConc","Ex","TA","Gd","GLQ","ALQ","Ex","SBrkr","Ex","Typ","Attchd","Fin","Y","WD","Normal","Stone","ALQ",539,"RL","PConc","Gd","GLQ","Norm","AllPub","Ex","Lvl","Gtl","Inside","TA","VinylSd","Ex"
"442","RL","Reg","Lvl","Inside","Edwards","Norm","Duplex","1Story","Gable","VinylSd","VinylSd","BrkFace","TA","TA","CBlock","TA","TA","No","ALQ","Unf","TA","FuseF","Fa","Typ","Attchd","Unf","Y","WD","Normal","BrkFace","Unf",0,"RL","CBlock","No","ALQ","Norm","AllPub","TA","Lvl","Gtl","Inside","TA","VinylSd","TA"
"443","RM","Reg","Lvl","Inside","BrkSide","Norm","1Fam","1.5Fin","Gable","MetalSd","MetalSd","None","TA","TA","PConc","TA","TA","No","Unf","Unf","TA","SBrkr","TA","Typ","Detchd","Unf","P","WD","Normal","None","Unf",0,"RM","PConc","No","Unf","Norm","AllPub","TA","Lvl","Gtl","Inside","TA","MetalSd","TA"
"444","RL","Reg","Lvl","Inside","Blmngtn","Norm","TwnhsE","1Story","Gable","WdShing","Wd Shng","BrkFace","Gd","TA","PConc","Ex","TA","Av","Unf","Unf","Ex","SBrkr","Gd","Typ","Attchd","Fin","Y","New","Partial","BrkFace","Unf",0,"RL","PConc","Av","Unf","Norm","AllPub","Ex","Lvl","Gtl","Inside","TA","WdShing","Gd"
"445","RL","Reg","Lvl","Inside","CollgCr","Norm","1Fam","2Story","Gable","VinylSd","VinylSd","None","Gd","Gd","PConc","Gd","TA","No","GLQ","Unf","Ex","SBrkr","Gd","Typ","Attchd","Unf","Y","WD","Normal","None","Unf",0,"RL","PConc","No","GLQ","Norm","AllPub","Gd","Lvl","Gtl","Inside","TA","VinylSd","Gd"
"446","RL","Reg","Lvl","Corner","Edwards","Norm","1Fam","1Story","Hip","Wd Sdng","Wd Sdng","None","TA","TA","CBlock","TA","TA","No","Unf","Unf","Fa","SBrkr","TA","Typ","Attchd","Unf","Y","COD","Normal","None","Unf",0,"RL","CBlock","No","Unf","Norm","AllPub","TA","Lvl","Gtl","Corner","TA","Wd Sdng","TA"
"447","RL","IR1","Lvl","Corner","NAmes","Norm","1Fam","1Story","Gable","BrkFace","Plywood","None","Gd","TA","CBlock","TA","TA","No","ALQ","Rec","Ex","SBrkr","Gd","Mod","Attchd","Fin","Y","WD","Normal","None","Rec",713,"RL","CBlock","No","ALQ","PosA","AllPub","TA","Lvl","Gtl","Corner","TA","BrkFace","Gd"
"448","RL","IR1","Lvl","Corner","Gilbert","Norm","1Fam","2Story","Gable","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","No","Unf","Unf","Gd","SBrkr","Gd","Typ","Attchd","Fin","Y","WD","Normal","None","Unf",0,"RL","PConc","No","Unf","Norm","AllPub","Gd","Lvl","Gtl","Corner","TA","VinylSd","Gd"
"449","RM","Reg","Bnk","Inside","IDOTRR","Norm","1Fam","1.5Fin","Gable","MetalSd","MetalSd","None","TA","TA","BrkTil","TA","TA","No","Unf","Unf","TA","SBrkr","TA","Typ","Detchd","Unf","N","WD","Normal","None","Unf",0,"RM","BrkTil","No","Unf","Norm","AllPub","TA","Bnk","Gtl","Inside","TA","MetalSd","TA"
"450","RM","Reg","Lvl","Inside","OldTown","Norm","1Fam","1.5Fin","Gable","MetalSd","MetalSd","None","TA","Gd","CBlock","TA","TA","No","ALQ","Unf","Ex","SBrkr","TA","Typ","Detchd","Unf","Y","WD","Normal","None","Unf",0,"RM","CBlock","No","ALQ","Norm","AllPub","TA","Lvl","Gtl","Inside","TA","MetalSd","TA"
"451","RM","Reg","Lvl","Inside","OldTown","Norm","1Fam","1Story","Hip","Wd Sdng","Wd Sdng","None","TA","TA","BrkTil","TA","TA","No","Unf","Unf","Ex","FuseA","Gd","Typ","Detchd","Unf","N","WD","Normal","None","Unf",0,"RM","BrkTil","No","Unf","Norm","AllPub","TA","Lvl","Gtl","Inside","TA","Wd Sdng","TA"
"452","RL","IR1","Low","Inside","ClearCr","Norm","1Fam","1Story","Gable","Plywood","Plywood","None","TA","TA","CBlock","Gd","TA","Gd","ALQ","Unf","TA","SBrkr","Gd","Typ","Attchd","Unf","Y","WD","Normal","None","Unf",0,"RL","CBlock","Gd","ALQ","Norm","AllPub","Gd","Low","Mod","Inside","TA","Plywood","TA"
"453","RL","IR1","Lvl","Corner","Timber","Norm","1Fam","2Story","Hip","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Ex","TA","No","ALQ","Unf","Ex","SBrkr","TA","Typ","Attchd","Fin","Y","WD","Normal","BrkFace","Unf",0,"RL","PConc","No","ALQ","Norm","AllPub","Ex","Lvl","Gtl","Corner","TA","VinylSd","Gd"
